"","STOPWORD"
"1","a"
"2","ahi"
"3","ahí"
"4","aki"
"5","al"
"6","algo"
"7","algunas"
"8","algunos"
"9","ante"
"10","antes"
"11","aqui"
"12","aquí"
"13","asi"
"14","así"
"15","como"
"16","con"
"17","contra"
"18","creo"
"19","cual"
"20","cuando"
"21","d"
"22","da"
"23","dan"
"24","de"
"25","del"
"26","desde"
"27","donde"
"28","durante"
"29","e"
"30","el"
"31","él"
"32","ella"
"33","ellas"
"34","ellos"
"35","en"
"36","entre"
"37","era"
"38","erais"
"39","éramos"
"40","eran"
"41","eras"
"42","eres"
"43","es"
"44","esa"
"45","esas"
"46","ese"
"47","eso"
"48","esos"
"49","esta"
"50","está"
"51","estaba"
"52","estabais"
"53","estábamos"
"54","estaban"
"55","estabas"
"56","estad"
"57","estada"
"58","estadas"
"59","estado"
"60","estados"
"61","estáis"
"62","estamos"
"63","están"
"64","estando"
"65","estar"
"66","estará"
"67","estarán"
"68","estarás"
"69","estaré"
"70","estaréis"
"71","estaremos"
"72","estaría"
"73","estaríais"
"74","estaríamos"
"75","estarían"
"76","estarías"
"77","estas"
"78","estás"
"79","este"
"80","esté"
"81","estéis"
"82","estemos"
"83","estén"
"84","estés"
"85","esto"
"86","estos"
"87","estoy"
"88","estuve"
"89","estuviera"
"90","estuvierais"
"91","estuviéramos"
"92","estuvieran"
"93","estuvieras"
"94","estuvieron"
"95","estuviese"
"96","estuvieseis"
"97","estuviésemos"
"98","estuviesen"
"99","estuvieses"
"100","estuvimos"
"101","estuviste"
"102","estuvisteis"
"103","estuvo"
"104","fue"
"105","fuera"
"106","fuerais"
"107","fuéramos"
"108","fueran"
"109","fueras"
"110","fueron"
"111","fuese"
"112","fueseis"
"113","fuésemos"
"114","fuesen"
"115","fueses"
"116","fui"
"117","fuimos"
"118","fuiste"
"119","fuisteis"
"120","ha"
"121","habéis"
"122","haber"
"123","había"
"124","habíais"
"125","habíamos"
"126","habían"
"127","habías"
"128","habida"
"129","habidas"
"130","habido"
"131","habidos"
"132","habiendo"
"133","habrá"
"134","habrán"
"135","habrás"
"136","habré"
"137","habréis"
"138","habremos"
"139","habría"
"140","habríais"
"141","habríamos"
"142","habrían"
"143","habrías"
"144","han"
"145","has"
"146","hasta"
"147","hay"
"148","haya"
"149","hayáis"
"150","hayamos"
"151","hayan"
"152","hayas"
"153","he"
"154","hemos"
"155","hube"
"156","hubiera"
"157","hubierais"
"158","hubiéramos"
"159","hubieran"
"160","hubieras"
"161","hubieron"
"162","hubiese"
"163","hubieseis"
"164","hubiésemos"
"165","hubiesen"
"166","hubieses"
"167","hubimos"
"168","hubiste"
"169","hubisteis"
"170","hubo"
"171","i"
"172","ir"
"173","ja"
"174","ke"
"175","kien"
"176","koka"
"177","la"
"178","las"
"179","le"
"180","les"
"181","lo"
"182","los"
"183","m"
"184","mas"
"185","más"
"186","me"
"187","mi"
"188","mí"
"189","mía"
"190","mías"
"191","mío"
"192","míos"
"193","mis"
"194","mucho"
"195","muchos"
"196","multimedia"
"197","muy"
"198","nada"
"199","ni"
"200","no"
"201","nos"
"202","nosotras"
"203","nosotros"
"204","nuestra"
"205","nuestras"
"206","nuestro"
"207","nuestros"
"208","o"
"209","oh"
"210","omitido"
"211","os"
"212","otra"
"213","otras"
"214","otro"
"215","otros"
"216","pa"
"217","pal"
"218","para"
"219","pero"
"220","poco"
"221","por"
"222","porque"
"223","q"
"224","que"
"225","qué"
"226","quien"
"227","quienes"
"228","s"
"229","se"
"230","sea"
"231","seáis"
"232","seamos"
"233","sean"
"234","seas"
"235","see"
"236","ser"
"237","será"
"238","serán"
"239","serás"
"240","seré"
"241","seréis"
"242","seremos"
"243","sería"
"244","seríais"
"245","seríamos"
"246","serían"
"247","serías"
"248","si"
"249","sí"
"250","sido"
"251","siendo"
"252","sigue"
"253","sin"
"254","sino"
"255","sobre"
"256","sois"
"257","solo"
"258","somos"
"259","son"
"260","sos"
"261","soy"
"262","su"
"263","sus"
"264","suya"
"265","suyas"
"266","suyo"
"267","suyos"
"268","ta"
"269","tal"
"270","también"
"271","tan"
"272","tanto"
"273","tas"
"274","tb"
"275","te"
"276","tendrá"
"277","tendrán"
"278","tendrás"
"279","tendré"
"280","tendréis"
"281","tendremos"
"282","tendría"
"283","tendríais"
"284","tendríamos"
"285","tendrían"
"286","tendrías"
"287","tene"
"288","tened"
"289","tenéis"
"290","tenemos"
"291","tenga"
"292","tengáis"
"293","tengamos"
"294","tengan"
"295","tengas"
"296","tengo"
"297","tenía"
"298","teníais"
"299","teníamos"
"300","tenían"
"301","tenías"
"302","tenida"
"303","tenidas"
"304","tenido"
"305","tenidos"
"306","teniendo"
"307","ti"
"308","tiene"
"309","tienen"
"310","tienes"
"311","todo"
"312","todos"
"313","toy"
"314","tu"
"315","tú"
"316","tus"
"317","tuve"
"318","tuviera"
"319","tuvierais"
"320","tuviéramos"
"321","tuvieran"
"322","tuvieras"
"323","tuvieron"
"324","tuviese"
"325","tuvieseis"
"326","tuviésemos"
"327","tuviesen"
"328","tuvieses"
"329","tuvimos"
"330","tuviste"
"331","tuvisteis"
"332","tuvo"
"333","tuya"
"334","tuyas"
"335","tuyo"
"336","tuyos"
"337","un"
"338","una"
"339","uno"
"340","unos"
"341","va"
"342","vas"
"343","ve"
"344","veni"
"345","ver"
"346","vo"
"347","vos"
"348","vosotras"
"349","vosotros"
"350","voy"
"351","vuestra"
"352","vuestras"
"353","vuestro"
"354","vuestros"
"355","x"
"356","y"
"357","ya"
"358","yo"
